"Kameela Nasser","Tamil Nadu","Chennai Central",92249,11.74,"Makkal Needhi Maiam",54,"Post Graduate",71905468,9490525,"","Film Producer"
Najimunnissa,"Tamil Nadu","Chennai Central",645,0.08,"Anaithu Makkal Katchi",48,"8th Pass",1040000,0,"","500000 / per annum"
"Valarmathi. K.","Tamil Nadu","Chennai Central",643,0.08,"Akila India Vallalar Peravai",46,Others,2280000,0,"","Social Worker"
"Jitendra Kumar Jain.","Tamil Nadu","Chennai Central",3398,0.43,"Republican Party of India (A)",41,Graduate,12900000,0,"",Business
"Sheik Mohamed @ Dhehlan Baqavi","Tamil Nadu","Chennai Central",23741,3.02,"SOCIAL DEMOCRATIC PARTY OF INDIA",48,Others,2274313,0,153A|153|323|336|341|347,Business
"Raghavan. M.","Tamil Nadu","Chennai Central",322,0.04,Independent,62,"10th Pass",99000,0,"","Mobile Mechanic"
"Radhakrishnan. V.","Tamil Nadu","Chennai Central",504,0.06,Independent,47,Graduate,51629805,0,"","TEXTILE BUSINESS"
Karnan.c.s.,"Tamil Nadu","Chennai Central",5768,0.73,"Anti Corruption Dynamic Party",63,Graduate,10750000,0,"","Retired Judge"
Parthasarathy.m.,"Tamil Nadu","Chennai Central",2696,0.34,"Bahujan Samaj Party",49,"12th Pass",21000,0,"",Coolie
"Suresh Babu. D.","Tamil Nadu","Chennai Central",690,0.09,"Desiya Makkal Sakthi Katchi",43,"Post Graduate",28920971,8062407,"","Financial & Business Consultant& Education Services"
"Chandranathan. S.","Tamil Nadu","Chennai Central",929,0.12,Independent,27,Graduate,69289,0,"",Advocate
"Kuppusamy. K.","Tamil Nadu","Chennai Central",1770,0.23,Independent,46,"5th Pass",37000,0,"",TINKER
"Sam Paul","Tamil Nadu","Chennai Central",1444,0.18,Independent,41,"Post Graduate",299512500,4643616,"",
"Tamilarasan. V.v.","Tamil Nadu","Chennai Central",511,0.07,Independent,33,Graduate,96000,0,"","Social Worker"
"Dinakaran. G.","Tamil Nadu","Chennai Central",325,0.04,Independent,29,"Post Graduate",70000,0,"","Employee in Private company"
"Nasar. K.","Tamil Nadu","Chennai Central",360,0.05,Independent,35,"10th Pass",192000,0,"",Driver
"Prabakaran. K.m.","Tamil Nadu","Chennai Central",334,0.04,Independent,57,"5th Pass",135000,0,"",Carpenter
